"","Gross.Charges.Itemcode","Gross.Charges.Description","Gross.Charges.CDM.Revenue.Code","Gross.Charges.HMC.DEFAULT","Gross.Charges.HMC.DEFAULT.Discount.Cash.Price","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES.Discount.Cash.Price","Gross.Charges.HMC.DEFAULT..MOD.50.","Gross.Charges.HMC.DEFAULT..MOD.50..Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS.Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD.","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD..Discount.Cash.Price","Gross.Charges.CDM.Hcpcs","Gross.Charges.CDM.Modifier","Gross.Charges.Note"
"45","02200012","HC STUDY CT FOOT WO CONT , ANIMAL OR CADAVER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76497",NA,NA
"46","02200013","HC CARDIAC REHAB III","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"47","02200014","HC CARDIAC REHAB III MONTHLY","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"48","02200015","HC FACTORS NW WQ TRIGGER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"49","02200016","HC STUDY CT ABDOMEN, ANIMAL OR CADAVER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76497",NA,NA
"50","02200017","HC STUDY CT CHEST, ANIMAL OR CADAVER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76497",NA,NA
"51","02200018","HC STUDY CT PELVIS, ANIMAL OR CADAVER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76497",NA,NA
"52","02200019","HC STUDY CT ELBOW W/O CONTRAST, ANIMAL OR CADAVER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76497",NA,NA
"53","02200020","HC PULMONARY PLACEHOLDER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"54","02200021","HC ANGIO PLACEHOLDER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"55","02220001","HC AUTODELETE","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"56","02220002","HC VT O NS O NC VALIDATE","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"57","02220003","HC BUNDLED OTHER HOSPITAL ROUND TRIP","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"58","02220004","HC COCHLEAR DEVICE  PATIENT CONVENIENCE ACCESSORIES","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9270","GY",NA
"59","02220005","HC EXTENDED WARRANTY FOR HEARING AID DEVICE","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9270","GY",NA
"60","02500001","HC PHARMACY, DEPO-PROVERA","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"61","02500002","HC PASSTHROUGH PHARMACY STUDY CHARGE","250","2","1.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,"**"
"62","02500002_J1570","HC PASSTHROUGH PHARMACY STUDY CHARGE","250","150","105","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J1570",NA,"**"
"63","02500003","HC PASSTHROUGH PHARMACY RC0250","250","89","62.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,"**"
"64","02500003_J2001","HC PASSTHROUGH PHARMACY RC0250","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J2001",NA,NA
"65","02500003_J2787","HC PASSTHROUGH PHARMACY RC0250","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J2787",NA,NA
"66","02500003_J3490","HC PASSTHROUGH PHARMACY RC0250","250","8","5.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J3490",NA,"**"
"67","02500003_J7030","HC PASSTHROUGH PHARMACY RC0250","250","69","48.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J7030",NA,"**"
"68","02500003_J7040","HC PASSTHROUGH PHARMACY RC0250","250","66","46.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J7040",NA,"**"
"69","02500003_J7050","HC PASSTHROUGH PHARMACY RC0250","250","93","65.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J7050",NA,"**"
"70","02500005","HC PASSTHROUGH PHARMACY NC","250","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,"**"
"71","02500008","HC METOPROLOL TARTRATE INJ 5ML","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"72","02500009","HC CHOLERA VACCINE LIVE PO ADULT","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","90625",NA,NA
"73","02500010","HC VERAPAMIL HCL INJ","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"74","02500012","HC FLUORESCEIN 10% 5 ML VIAL","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"75","02500013","HC PASSTHROUGH CONTRAST NO HCPC","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"76","02500014","HC INJECTABLE ALLERGEN","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"77","02530001","HC PASSTHROUGH PHARMACY TAKE HOME RC0253","253","2","1.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9270",NA,"**"
"78","02530001_A9270","HC PASSTHROUGH PHARMACY TAKE HOME RC0253","253","85","59.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9270",NA,"**"
"79","02530001_J1815","HC PASSTHROUGH PHARMACY TAKE HOME RC0253","253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J1815",NA,NA
"80","02530002","HC PASSTHROUGH PHARMACY STUDY CHARGE TAKE HOME MEDS","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9270",NA,NA
"81","02540001","HC HIGH OSM CONTRAST MATL 149 MG/ML IODINE CONC ML","636","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Q9958",NA,NA
"82","02540002","HC LOCM 100-199 MG/ML IODINE CONCENTRATION PER ML","636","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Q9965",NA,NA
"83","02550001","HC INJ GADOBENATE DIMEGLUMINE MULTIHANCE PER M","636","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9577",NA,NA
"84","02550002","HC INJECTION GADOLINIUM BASED MR CONTRAST NOS ML","636","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9579",NA,NA
"85","02550003","HC NON-RADIOACTV CONTRST IMAG MATERIAL NOC PER STDY","636","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9698",NA,NA
"86","02550004","HC ETHIODIZED OIL GUERBET NDC=06768419012 PKG=10ML","250","5,555","3888.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"87","02550005","HC ETHIODIZED OIL AMP 5ML","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"88","02580001","HC PASSTHROUGH PHARMACY IV SOLUTIONS RC0258","258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"89","02580002","HC INFUS SPL EXT RX INFUS PUMP CASSETTE/BAG","258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4222",NA,NA
"90","02580003","HC 5% DEXTROSE/NORMAL SALINE","258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J7042",NA,NA
"91","02580004","HC INFUSION D-5-W 1000 CC","258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J7070",NA,NA
"92","02580005","HC RINGERS LACTATE INFUSION UP TO 1000 CC","258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J7120",NA,NA
"93","02580006","HC INFUSION NORMAL SALINE SOLUTION 1000CC","636","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","J7030",NA,NA
"94","02590001","HC PASSTHROUGH PHARMACY DME DRUGS RC0259","259","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"95","02600017","HC RFL&MAIN IMPLT PMP/RSVR DLVR SPI/BRN PHY/QHP","260","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","95991",NA,NA
"96","02600018","HC RFL/MAIN PORTABLE PMP","260","861","602.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96521",NA,NA
"97","02600019","HC RFL/MAIN IMPLTABLE PMP/RSVR F/DRUG DLVR SYSIC","260","718","502.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96522",NA,NA
"98","02600020","HC VAD IRRIGATION","260","341","238.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96523",NA,NA
"99","02600022","HC THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM","260","257","179.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96372",NA,NA
"100","02600023","HC THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG","260","609","426.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96374",NA,NA
"101","02600024","HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG","260","287","200.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96375",NA,NA
"102","02600025","HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC","260","225","157.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96376",NA,NA
"103","02600026","HC IV INFUSION HYDRATION INITIAL 31 MIN-1 HOUR","260","778","544.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96360",NA,NA
"104","02600027","HC IV INFUSION HYDRATION EACH ADDITIONAL HOUR","260","287","200.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96361",NA,NA
"105","02600028","HC IV INFUSION THERAPY/PROPHYLAXIS /DX 1ST >1 HOUR","260","1,197","837.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96365",NA,NA
"106","02600029","HC IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR","260","617","431.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96366",NA,NA
"107","02600030","HC IV NFS THER PROPH/DX ADDL SEQUENTIAL NFS >1 HR","260","332","232.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96367",NA,NA
"108","02600031","HC IV NFS THERAPY PROPHYLAXIS/DX CONCURRENT NFS","260","362","253.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96368",NA,NA
"109","02600032","HC SUBCUTANEOUS INFUSION INITIAL 1 HR W/PUMP SET-UP","260","622","435.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96369",NA,NA
"110","02600033","HC SUBCUTANEOUS INFUSION EACH ADDITIONAL HOUR","260","207","144.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96370",NA,NA
"111","02600034","HC SUBQ INFUSION ADDITIONAL PUMP INFUSION SITE","260","153","107.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96371",NA,NA
"112","02600035","HC THERAPEUTIC PROPHYLACTIC/DX NJX INTRA-ARTERIAL","260","377","263.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96373",NA,NA
"113","02600036","HC REFILL&MAINTENANCE PUMP DRUG DLVR SPINAL/BRAIN","260","902","631.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","95990",NA,NA
"114","02600037","HC APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION","260","196","137.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96377",NA,NA
"115","02600038","HC IV INF/SCI CASIRIV & IMDEVIMB& P/ADM SUBQ RP DS","771","2,006","1404.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","M0240",NA,NA
"116","02600039","HC INTRAVENOUS INF SOTROVIMAB INC INF & P ADM MON","771","2,006","1404.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","M0247",NA,NA
"117","02600040","HC IV TCZ HP PT 2 & > COVID-19 INC INF & PA MON FD","771","1,504","1052.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","M0249",NA,NA
"118","02600041","HC IV TCZ HP 2 & > COVID-19 INC INF & PA MON 2ND D","260","2,006","1404.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","M0250",NA,NA
"119","02600042","HC IV INFUS TX/DX; INIT PROLNG RQR PORT/IMPL PUMP","260","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","C8957",NA,NA
"120","02700001","HC SUPPLIES&MATERIALS ABOVE/BEYOND PROV BY PHYS/QHP","270","91","63.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","99070",NA,NA
"121","02700002","HC NONCORING NEEDLE OR STYLET W/WO CATHETER","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4212",NA,NA
"122","02700003","HC REFILL KIT FOR IMPLANTABLE INFUSION PUMP","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4220",NA,NA
"123","02700004","HC SPLINTS","274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4570",NA,NA
"124","02700006","HC MED/SURG SUPPLIES, NEEDLE, TROCAR","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"125","02700008","HC TRACHEOSTOMY INNER CANNULA","270","9","6.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4623",NA,NA
"126","02700010","HC ALCOHOL WIPES PER BOX","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4245",NA,NA
"127","02700011","HC GRADIENT COMPRESSION STOCKING NOS","274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A6549",NA,NA
"128","02700012","HC TRACHEOST/LARYNGECT TUBE NON-CUFFED POLYVINYLCHL","274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A7520",NA,NA
"129","02700013","HC TRACHEOST/LARYNGECT TUBE CUFFD PVC SILICONE/= EA","274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A7521",NA,NA
"130","02700014","HC TRACHEOST/LARYNGECT TUBE STNLESS STEEL/EQUAL EA","274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A7522",NA,NA
"131","02700015","HC FOOT PRESSURE OFF LOAD/SUPP DEVICE ANY TYPE EACH","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9283",NA,NA
"132","02700016","HC EYE GLASS CASE","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","V2756",NA,NA
"133","02700017","HC PASSTHROUGH UNCODED SUPPLY","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"134","02700018","HC MED/SURG SUPPLIES, PERIT/DIAL. ACCESS","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"135","02700019","HC URINARY CATHETER ANCHORING DEVICE LEG STRAP EACH","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4334",NA,NA
"136","02700020","HC INCONTINENCE SUPPLY; MISCELLANEOUS","274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4335",NA,NA
"137","02700021","HC INDWELL CATH; FOLY TYPE 3-WAY CONT IRRIGATION EA","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4346",NA,NA
"138","02700022","HC IRRIG TUBING CONT BLADD IRRIG 3-WAY CATH EA","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A4355",NA,NA
"139","02700023","HC MED/SURG SUPPLIES, SAUNA SUIT","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"140","02700024","HC MED/SURG SUPPLIES, SAUNA SUIT BOOTIES","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"141","02700025","HC URINARY SUSPENSORY WITH LEG BAG W/WO TUBE EACH","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A5105",NA,NA
"142","02700026","HC MED/SURG SUPPLIES, YUEH CATH (STRAIGHT)","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"143","02700029","HC MED/SURG SUPPLIES, ABCESS EVACUATION SET","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"144","02700030","HC MED/SURG SUPPLIES, BIOPINCE INTRODUCER","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"145","02700031","HC MED/SURG SUPPLIES, BOTOX NEEDLE","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"146","02700032","HC MED/SURG SUPPLIES, BX NEEDLE 17GX7.5CM BONE","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"147","02700033","HC MED/SURG SUPPLIES, CATH DRN APDL LOCKING PG","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"148","02700034","HC MED/SURG SUPPLIES, CATH DRN DAWSON/MUELLER","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"149","02700035","HC MED/SURG SUPPLIES, DILATOR","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"150","02700036","HC MED/SURG SUPPLIES, EVOLUTION BX NDLE 18G","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"151","02700037","HC MED/SURG SUPPLIES, EVOLUTION BX NDLE 20G","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"152","02700038","HC MED/SURG SUPPLIES, GUIDE WIRE","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
